State_Name,District_Name,Crop_Year,Season,Area,Rainfall,Humidity,Temperature ,prevYearsRainfall,prevYearsTemperature,prevYearsHumidity,Crop
Andhra Pradesh,ANANTAPUR,2008,Autum     ,34067,0,0.41,33,,,,Arhar/Tur
Andhra Pradesh,ANANTAPUR,2009,Autum     ,20269,1.1,0.6,30,0,33,0.41,Arhar/Tur
Andhra Pradesh,ANANTAPUR,2009,Winter       ,316,18,0.72,27,0.2,24,0.94,Arhar/Tur
Andhra Pradesh,ANANTAPUR,2010,Autum     ,66013,22,0.51,32,1.1,30,0.6,Arhar/Tur
Andhra Pradesh,ANANTAPUR,2011,Autum     ,51728,0.7,0.7,27,22,32,0.51,Arhar/Tur
Andhra Pradesh,ANANTAPUR,2011,Winter       ,17,9.6,0.69,25,1.4,28,0.73,Arhar/Tur
Andhra Pradesh,ANANTAPUR,2012,Autum     ,56586,0.4,0.67,28,0.7,27,0.7,Arhar/Tur
Andhra Pradesh,ANANTAPUR,2013,Autum     ,49932,2.8,0.69,27,0.4,28,0.67,Arhar/Tur
Andhra Pradesh,ANANTAPUR,2014,Autum     ,37562,0.5,0.68,28,2.8,27,0.69,Arhar/Tur
Andhra Pradesh,CHITTOOR,2008,Autum     ,7173,0.1,0.43,32,,,,Arhar/Tur
Andhra Pradesh,CHITTOOR,2009,Autum     ,6406,2.3,0.76,29,0.1,32,0.43,Arhar/Tur
Andhra Pradesh,CHITTOOR,2009,Winter       ,262,19,0.84,25,0.2,22,0.98,Arhar/Tur
Andhra Pradesh,CHITTOOR,2010,Autum     ,10943,15,0.8,30,2.3,29,0.76,Arhar/Tur
Andhra Pradesh,CHITTOOR,2010,Winter       ,10,0.1,0.69,26,19,25,0.84,Arhar/Tur
Andhra Pradesh,CHITTOOR,2011,Autum     ,8019,0.3,0.54,30,15,30,0.8,Arhar/Tur
Andhra Pradesh,CHITTOOR,2011,Winter       ,12,3.3,0.77,25,0.1,26,0.69,Arhar/Tur
Andhra Pradesh,CHITTOOR,2012,Autum     ,7594,2.3,0.5,31,0.3,30,0.54,Arhar/Tur
Andhra Pradesh,CHITTOOR,2012,Winter       ,13,0,0.6,27,3.3,25,-0.23,Arhar/Tur
Andhra Pradesh,CHITTOOR,2013,Autum     ,7601,3.7,0.57,32,2.3,31,0.5,Arhar/Tur
Andhra Pradesh,CHITTOOR,2013,Winter       ,10,6.1,0.75,25,0,27,0.6,Arhar/Tur
Andhra Pradesh,CHITTOOR,2014,Autum     ,6840,11,0.76,28,3.7,32,0.57,Arhar/Tur
Andhra Pradesh,GUNTUR,2008,Autum     ,18935,0,0.65,31,,,,Arhar/Tur
Andhra Pradesh,GUNTUR,2008,Winter       ,132,0.3,0.95,26,,,,Arhar/Tur
Andhra Pradesh,GUNTUR,2009,Autum     ,31140,1.2,0.55,35,0,31,0.65,Arhar/Tur
Andhra Pradesh,GUNTUR,2009,Winter       ,2552,8,0.85,26,0.3,26,0.95,Arhar/Tur
Andhra Pradesh,GUNTUR,2010,Autum     ,24084,7.6,0.8,25,1.2,35,0.55,Arhar/Tur
Andhra Pradesh,GUNTUR,2010,Winter       ,885,0,0.83,26,8,26,0.85,Arhar/Tur
Andhra Pradesh,GUNTUR,2011,Autum     ,16678,1.3,0.78,25,7.6,25,0.8,Arhar/Tur
Andhra Pradesh,GUNTUR,2011,Winter       ,401,13,0.74,26,0,26,0.83,Arhar/Tur
Andhra Pradesh,GUNTUR,2012,Autum     ,13555,4.3,0.76,28,1.3,25,0.78,Arhar/Tur
Andhra Pradesh,GUNTUR,2012,Winter       ,1112,0,0.77,26,13,26,0.74,Arhar/Tur
Andhra Pradesh,GUNTUR,2013,Autum     ,13579,2.1,0.74,25,4.3,28,0.76,Arhar/Tur
Andhra Pradesh,GUNTUR,2013,Winter       ,292,10,0.76,26,0,26,0.77,Arhar/Tur
Andhra Pradesh,GUNTUR,2014,Autum     ,8861,2.4,0.74,25,2.1,25,0.74,Arhar/Tur
Andhra Pradesh,GUNTUR,2014,Winter       ,193,0.1,0.76,26,10,26,0.76,Arhar/Tur
Andhra Pradesh,KADAPA,2008,Autum     ,10488,0,0.6,30,,,,Arhar/Tur
Andhra Pradesh,KADAPA,2009,Autum     ,12353,0.2,0.53,30,0,30,0.6,Arhar/Tur
Andhra Pradesh,KADAPA,2009,Winter       ,171,1.7,0.82,29,1.1,25,0.53,Arhar/Tur
Andhra Pradesh,KADAPA,2010,Autum     ,19759,14,0.78,29,0.2,30,0.53,Arhar/Tur
Andhra Pradesh,KADAPA,2010,Winter       ,23,0,0.65,26,1.7,29,0.82,Arhar/Tur
Andhra Pradesh,KADAPA,2011,Autum     ,8998,0.9,0.5,28,14,29,0.78,Arhar/Tur
Andhra Pradesh,KADAPA,2011,Winter       ,81,4.6,0.7,25,1.7,29,0.82,Arhar/Tur
Andhra Pradesh,KADAPA,2012,Autum     ,10386,5.4,0.48,30,0.9,28,0.5,Arhar/Tur
Andhra Pradesh,KADAPA,2012,Winter       ,5,0.3,0.7,28,4.6,25,0.7,Arhar/Tur
Andhra Pradesh,KADAPA,2013,Autum     ,8085,0.3,0.7,28,4.6,25,0.7,Arhar/Tur
Andhra Pradesh,KADAPA,2013,Winter       ,31,0,0.46,30,0.3,28,0.7,Arhar/Tur
Andhra Pradesh,KADAPA,2014,Autum     ,2367,1.4,0.47,32,4.6,31,0.52,Arhar/Tur
Andhra Pradesh,KADAPA,2014,Winter       ,24,2.9,0.64,26,0,30,0.46,Arhar/Tur
Andhra Pradesh,KURNOOL,2008,Autum     ,30259,0,0.6,30,,,,Arhar/Tur
Andhra Pradesh,KURNOOL,2008,Winter       ,162,0.4,0.79,26,,,,Arhar/Tur
Andhra Pradesh,KURNOOL,2009,Autum     ,30703,0,0.54,32,0,30,0.6,Arhar/Tur
Andhra Pradesh,KURNOOL,2009,Winter       ,3257,14,0.72,26,0.4,26,0.79,Arhar/Tur
Andhra Pradesh,KURNOOL,2010,Autum     ,68092,20,0.74,28,0,32,0.54,Arhar/Tur
Andhra Pradesh,KURNOOL,2010,Winter       ,2081,0.8,0.74,26,14,26,0.72,Arhar/Tur
Andhra Pradesh,KURNOOL,2011,Autum     ,48261,4.2,0.71,28,14,26,1.72,Arhar/Tur
Andhra Pradesh,KURNOOL,2011,Winter       ,760,5,0.6,26,0.8,26,0.74,Arhar/Tur
Andhra Pradesh,KURNOOL,2012,Autum     ,49734,1.9,0.69,27,20,28,0.74,Arhar/Tur
Andhra Pradesh,KURNOOL,2012,Winter       ,689,0,0.67,25,5,26,0.6,Arhar/Tur
Andhra Pradesh,KURNOOL,2013,Autum     ,42964,5.2,0.71,28,1.9,27,0.69,Arhar/Tur
Andhra Pradesh,KURNOOL,2013,Winter       ,531,0.2,0.66,24,0,25,0.67,Arhar/Tur
Andhra Pradesh,KURNOOL,2014,Autum     ,43233,26,0.67,25,5.2,28,0.71,Arhar/Tur
Andhra Pradesh,KURNOOL,2014,Winter       ,496,1.7,0.67,24,0.2,24,0.66,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2008,Autum     ,712,0,0.57,29,,,,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2008,Winter       ,334,0,0.88,27,,,,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2009,Autum     ,1846,1,0.64,30,0,29,0.57,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2009,Winter       ,87,0.1,0.71,25,0,27,0.88,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2010,Autum     ,3110,0.4,0.75,28,1,30,0.64,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2010,Winter       ,363,1,0.81,27,0.1,25,0.71,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2011,Autum     ,578,0,0.65,27,0.4,28,0.75,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2011,Winter       ,119,5.5,0.77,25,1,27,0.81,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2012,Autum     ,1091,8.4,0.67,27,0,27,0.65,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2012,Winter       ,221,0,0.64,25,5.5,25,0.77,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2013,Autum     ,1119,10.2,0.71,28,8.4,27,0.67,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2013,Winter       ,220,4,0.71,28,0,25,0.64,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2014,Autum     ,457,0,0.59,28,10.2,28,0.71,Arhar/Tur
Andhra Pradesh,SPSR NELLORE,2014,Winter       ,102,0.1,0.74,25,4,28,0.71,Arhar/Tur
Andhra Pradesh,SRIKAKULAM,2008,Autum     ,1334,0.1,0.8,30,,,,Arhar/Tur
